127.0.0.1, 2015-04-05 20:04:05, GET, /critico/static/js/jquery.js, HTTP/1.1, 200, 0.000347
127.0.0.1, 2015-04-05 20:04:05, GET, /critico/static/js/calendar.js, HTTP/1.1, 200, 0.000497
127.0.0.1, 2015-04-05 20:04:05, GET, /critico/static/js/web2py.js, HTTP/1.1, 200, 0.000337
127.0.0.1, 2015-04-05 20:04:05, GET, /critico/static/css/web2py.css, HTTP/1.1, 200, 0.000336
127.0.0.1, 2015-04-05 20:04:05, GET, /critico/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000314
127.0.0.1, 2015-04-05 20:04:05, GET, /critico/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000353
127.0.0.1, 2015-04-05 20:04:05, GET, /critico/static/css/calendar.css, HTTP/1.1, 200, 0.000325
127.0.0.1, 2015-04-05 20:04:05, GET, /critico/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.000466
127.0.0.1, 2015-04-05 20:04:05, GET, /critico/static/plugin_wiki/ui/css/redmond/jquery-ui-1.8.5.custom.css, HTTP/1.1, 200, 0.000319
127.0.0.1, 2015-04-05 20:04:05, GET, /critico/static/plugin_wiki/multiselect/jquery.multiselect.css, HTTP/1.1, 200, 0.000333
127.0.0.1, 2015-04-05 20:04:05, GET, /critico/static/plugin_wiki/rating/jquery.rating.css, HTTP/1.1, 200, 0.000288
127.0.0.1, 2015-04-05 20:04:05, GET, /critico/static/plugin_wiki/jqgrid/ui.jqgrid.css, HTTP/1.1, 200, 0.000317
127.0.0.1, 2015-04-05 20:04:05, GET, /critico/static/plugin_wiki/ui/js/jquery-ui-1.8.5.custom.min.js, HTTP/1.1, 200, 0.000518
127.0.0.1, 2015-04-05 20:04:05, GET, /critico/static/plugin_wiki/jqgrid/i18n/grid.locale-en.js, HTTP/1.1, 200, 0.000546
127.0.0.1, 2015-04-05 20:04:05, GET, /critico/static/plugin_wiki/jqgrid/jquery.jqGrid.min.js, HTTP/1.1, 200, 0.000361
127.0.0.1, 2015-04-05 20:04:05, GET, /critico/static/plugin_wiki/slideshow/jquery.cycle.min.js, HTTP/1.1, 200, 0.000458
127.0.0.1, 2015-04-05 20:04:05, GET, /critico/static/plugin_wiki/rating/jquery.rating.js, HTTP/1.1, 200, 0.000305
127.0.0.1, 2015-04-05 20:04:05, GET, /critico/static/plugin_wiki/multiselect/jquery.multiselect.js, HTTP/1.1, 200, 0.000490
127.0.0.1, 2015-04-05 20:04:05, GET, /critico/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000509
127.0.0.1, 2015-04-05 20:04:05, GET, /critico/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.000531
127.0.0.1, 2015-04-05 20:04:05, GET, /critico/static/js/share.js, HTTP/1.1, 200, 0.000497
127.0.0.1, 2015-04-05 20:04:05, GET, /critico/static/plugin_wiki/multiselect/jquery.multiselect.js, HTTP/1.1, 304, 0.000397
127.0.0.1, 2015-04-05 20:04:05, GET, /critico/static/plugin_wiki/rating/jquery.rating.js, HTTP/1.1, 304, 0.000377
127.0.0.1, 2015-04-05 20:04:05, GET, /critico/static/images/twitter.png, HTTP/1.1, 200, 0.000509
127.0.0.1, 2015-04-05 20:04:05, GET, /critico/static/images/facebook.png, HTTP/1.1, 200, 0.000370
127.0.0.1, 2015-04-05 20:04:05, GET, /critico/static/images/gplus-32.png, HTTP/1.1, 200, 0.000201
127.0.0.1, 2015-04-05 20:04:06, GET, /critico/static/images/favicon.ico, HTTP/1.1, 200, 0.000493
127.0.0.1, 2015-04-05 20:04:14, GET, /critico/default/user/register, HTTP/1.1, 200, 0.231041
127.0.0.1, 2015-04-05 20:04:16, GET, /critico/default/user/register_product_admin, HTTP/1.1, 200, 0.131195
127.0.0.1, 2015-04-05 20:04:35, POST, /critico/default/user/register_product_admin, HTTP/1.1, 200, 0.273736
127.0.0.1, 2015-04-05 20:04:42, GET, /critico/default/user/register_product_admin, HTTP/1.1, 200, 0.092528
127.0.0.1, 2015-04-05 20:04:43, GET, /critico/default/user/register, HTTP/1.1, 200, 0.107183
127.0.0.1, 2015-04-05 20:04:45, GET, /critico, HTTP/1.1, 200, 0.082324
127.0.0.1, 2015-04-05 20:04:50, POST, /critico, HTTP/1.1, 303, 0.376851
127.0.0.1, 2015-04-05 20:04:50, GET, /critico/default/product_index/8, HTTP/1.1, 200, 0.149254
127.0.0.1, 2015-04-05 20:04:50, GET, /critico/static/css/calendar.css, HTTP/1.1, 304, 0.000753
127.0.0.1, 2015-04-05 20:04:50, GET, /critico/static/js/modernizr.custom.js, HTTP/1.1, 304, 0.000701
127.0.0.1, 2015-04-05 20:04:50, GET, /critico/static/js/web2py.js, HTTP/1.1, 304, 0.001645
127.0.0.1, 2015-04-05 20:04:50, GET, /critico/static/js/calendar.js, HTTP/1.1, 304, 0.003071
